sale_id,confidence,sale_name,sale_email,sale_phone,boom_name,boom_email,boom_phone
ft_sal_000085,1,Juan Arango,juan.arango821+spam@gmail.com,573291800658,Juan Arango,juan.arango821@gmail.com,3291800658
ft_sal_000130,0.75,Esteban Peña Restrepo,andrea.rodriguez@hotmail.com,3053491074,Andrea Rodríguez,andrea.rodriguez@hotmail.com,3256247421
ft_sal_000192,0.7,Camilo Martinez,camilo.mrtinez@hotmail.com,3048303962,Camilo Martínez,camilo.martinez@hotmail.com,3048303962
ft_sal_000208,1,DANIEL MARTÍNEZ,daniel.martinez87@outlook.com,3053568429,Daniel Martínez,daniel.martinez87@outlook.com,3053568429
ft_sal_000312,1,Alejandra Gomez,alejandra.gomez@gmial.com,+57 320 7034363,Alejandra Gómez,alejandra.gomez@gmail.com,3207034363
ft_sal_000345,1,Suárez Tatiana,tatiana.suarez@gmail.com,318 465 5046,Tatiana Suárez,tatiana.suarez@gmail.com,3184655046
ft_sal_000455,1,Camilo Jimenez,camilo.jimenez@gmail.com,+57 326 6958970,Camilo Jiménez,camilo.jimenez@gmail.com,3266958970
ft_sal_000561,0.8,S. Cárdenas,sara.cardenas@yahoo.com,305 775 4056,Sara Cárdenas,sara.cardenas@gmail.com,3057754056
ft_sal_000640,0.8,ANDRÉS BERMÚDEZ,andres.bermudez6@outlook.com,3100698689,Andrés Bermúdez,andres.bermudez6@gmail.com,3100698689
ft_sal_000734,1,Esteban Zapata,esteban.zapata58@gmail.com,(+57) 321-156-1341,Esteban Zapata,esteban.zapata58@gmail.com,3211561341
ft_sal_000761,0.9,Alejandra Jiménez Rodríguez,alejandra.jimenez4@gmial.com,573287905449,Alejandra Jiménez,alejandra.jimenez4@gmail.com,3125838358
ft_sal_000779,1,Catalina Jiménez,catalina.jimenez+eventos@gmail.com,(+57) 308-037-6973,Catalina Jiménez,catalina.jimenez@gmail.com,3083076973
ft_sal_000820,0.9,Ricardo Salazar,ricardo.salazar+eventos@gmail.com,,Ricardo Salazar,ricardo.salazar@gmail.com,3042937780
ft_sal_000829,1,Alejandro Cifuentes,alejandro.cifuentes86@gmail.com,+57 323 5066061,Alejandro Cifuentes,alejandro.cifuentes86@gmail.com,3235066061
ft_sal_000834,1,López Valentina,valentina.lopez677@gmail.com,573246437836,Valentina López,valentina.lopez677@gmail.com,3246473836
ft_sal_000837,1,Santiago Rojas,santiago.rojas10@gmail.com,+57 303 9912112,Santiago Rojas,santiago.rojas10@gmail.com,3039912112
ft_sal_000862,1,Catalina Arango,catalina.arango@hotmail.com,(+57) 329-069-5259,Catalina Arango,catalina.arango@hotmail.com,3290695259
ft_sal_000885,0.7,Castro Camila,camil.castro@outlook.com,323 640 4348,Camila Castro,camila.castro@outlook.com,3236404348
ft_sal_001062,0.9,Juliana Rojas,juliana.rojas@gmail.com,573001285054,Juliana Rojas,juliana.rojas@gmail.com,3266804022
ft_sal_001087,1,MANUELA MEJÍA,manuela.mejia36@gmail.com,573263757087,Manuela Mejía,manuela.mejia36@gmail.com,3263757087
ft_sal_001237,0.7,D. Ospina,dvid.ospina@gmail.com,3098915809,David Ospina,david.ospina@gmail.com,3098915809
ft_sal_001263,1,ISABELLA ORTIZ,isabella.ortiz+compras@gmail.com,3190910085,Isabella Ortiz,isabella.ortiz@gmail.com,3190910085
ft_sal_001416,1,Sebastián Cárdenas,sebastian.cardenas99@gmail.com,(+57) 304-578-6464,Sebastián Cárdenas,sebastian.cardenas99@gmail.com,3045786464
ft_sal_001470,0.7,M. Hernández,mateohernandez863@outlook.com,+57 304 3518321,Mateo Hernández,mateo.hernandez863@outlook.com,3043518321
ft_sal_001552,1,Carlos Rojas,carlos.rojas@hotmail.com,+57 328 3299430,Carlos Rojas,carlos.rojas@hotmail.com,3283299430
ft_sal_001560,1,Juliana Martínez,JULIANA.MARTINEZ118@HOTMAIL.COM,+57 301 7155246,Juliana Martínez,juliana.martinez118@hotmail.com,3017155246
ft_sal_001575,1,Sara Hernández,sara.hernandez@yahoo.com,+57 324 4516908,Sara Hernández,sara.hernandez@yahoo.com,3244516908
